First Name,Last Name,Country/Region,Phone Number,Training Create Date,Industry,Street Address,Checkbox,Email,Temporary ID,Email Validation
,,,,2021-03-04,Poultry and fish,"Blake  Grove, 4981",Yes,tyson_newman1021718471@yahoo.com,89917963693,Valid
Tyson,Newman,Limerick,6-835-027-381 ext 82,2021-10-22,Poultry and fish,"Apollo  Crossroad, 6027",Yes,tyson_newman1021718471@yahoo.com,89932102170,Valid
,,Limerick,6-835-027-381 ext 66,2021-03-02,Meat,"Amwell    Tunnel, 3359",Yes,tyson_newman1021718471@yahoo.com,89929611547,Valid
,,Limerick,6-835-027-381 ext 58,2021-09-21,Bakery products,"Chester  Tunnel, 3543",Yes,tyson_newman1021718471@yahoo.com,89922854736,Valid
Sebastian,Parker,Plymouth,5-517-227-040 ext 78,2021-02-17,Dairy products,"Bales  Grove, 8324",Yes,sebastian_parker1458479109@joiniaa.com,89925035525,Valid
,,Plymouth,5-517-227-040 ext 8,2021-02-28,Poultry and fish,"Black Friars   Grove, 4713",Yes,sebastian_parker1458479109@joiniaa.com,89931250253,Valid
Sebastian,Parker,Plymouth,5-517-227-040 ext 53,2021-10-03,Poultry and fish,"Arbutus   Crossroad, 4836",Yes,sebastian_parker1458479109@joiniaa.com,89924010269,Valid
,,,,2021-09-24,Poultry and fish,"Sundown Road, 4207",Yes,sebastian_parker1458479109@joiniaa.com,89932287786,Valid
Sebastian,Parker,Plymouth,5-517-227-040 ext 85,2021-10-15,Dairy products,"Dutton   Boulevard, 4639",Yes,sebastian_parker1458479109@joiniaa.com,89923805568,Valid
,,Oxford,5-247-484-202 ext 7,2021-11-13,Animal feeds,"Cloth  Hill, 9582",Yes,sebastian_hope1518365261@hourpy.biz,89900063054,Valid
Sebastian,Hope,Oxford,,2021-09-26,Milling,"Cheney  Street, 9579",Yes,sebastian_hope1518365261@hourpy.biz,89923942532,Valid
,,Oxford,,2021-04-23,Animal feeds,"Apsley    Drive, 1477",Yes,sebastian_hope1518365261@hourpy.biz,89922822184,Valid
