Checkbox,Country/Region,Email,Email Validation,First Name,HubSpot Record ID,Industry,Last Name,Original Email,Phone Number,Street Address,Temporary ID,Training Create Date,country_found,city_found,Known City,Extension
Yes,Dublin,carrie_rees1243518944@tonsy.org,Valid,Carrie,,Animal feeds,Rees,,+(353)4527 8522,"Boadicea   Lane, 1368",89900742223,2021-03-26,Ireland,Dublin,True,ext 25
Yes,,tyson_newman1021718471@yahoo.com,Valid,,132628438581,Poultry;Fish,,tyson_newman1021718471@yahoo.com,,"Blake  Grove, 4981",89917963693,2021-03-04,,,False,
Yes,Oxford,esmeralda_york235096819@ubusive.com,Valid,Esmeralda,,Fruit;Vegetables,York,,+(44)6866 445484,"Norfolk  Rue, 5174",89923835996,2021-10-27,England,Oxford,True,ext 85
Yes,Limerick,javier_ogilvy1286833203@sveldo.biz,Valid,Javier,,Animal feeds,Ogilvy,,+(353)4330 564786,"Walnut Route, 8868",89926039813,2021-05-10,Ireland,Limerick,True,ext 2
Yes,Cork,payton_becker94954582@acrit.org,Valid,Payton,,Meat,Becker,,+(353)4822 073186,"Thomas More   Walk, 6363",89931282301,2021-07-31,Ireland,Cork,True,ext 19
Yes,Winchester,aeris_clarke836034276@qater.org,Valid,Aeris,,Poultry;Fish,Clarke,,+(44)2062 23571,"Baylis  Avenue, 5446",89923178834,2021-02-07,England,Winchester,True,ext 60
Yes,Oxford,mona_bishop142932851@tonsy.org,Valid,Mona,,Fruit;Vegetables,Bishop,,+(44)2756 340868,"Tisbury  Alley, 4295",89924115461,2021-11-27,England,Oxford,True,ext 18
Yes,Limerick,lexi_dunbar722128966@sveldo.biz,Valid,Lexi,,Dairy products,Dunbar,,+(353)2226 86721,"Ben   Walk, 1866",89925842192,2021-11-12,Ireland,Limerick,True,ext 70
Yes,Winchester,kassandra_powell155033352@gembat.biz,Valid,Kassandra,,Fruit;Vegetables,Powell,,+(44)3120 462704,"Lincoln Hill, 4716",89929063080,2021-09-12,England,Winchester,True,ext 6
Yes,Plymouth,denis_chester991222788@yahoo.com,Valid,Denis,,Bakery products,Chester,,+(44)2405 275330,"Bocking   Street, 7862",89931250206,2021-07-10,England,Plymouth,True,ext 34
Yes,Milton Keynes,maria_gilmore436638082@bretoux.com,Valid,Maria,,Dairy products,Gilmore,,+(44)5606 633403,"Amwell    Boulevard, 2333",89900742224,2021-03-24,England,Milton Keynes,True,ext 82
Yes,London,brad_wills1857591225@liret.org,Valid,Brad,,Fruit;Vegetables,Wills,,+(44)2672 003853,"Camdale  Tunnel, 5862",89924010144,2021-07-01,England,London,True,ext 57
Yes,Waterford,carmella_nobbs1882795310@acrit.org,Valid,Carmella,,Fruit;Vegetables,Nobbs,,+(353)5265 403473,"Comet House  Street, 7650",89926071620,2021-11-04,Ireland,Waterford,True,ext 37
Yes,England,elisabeth_coates682584278@muall.tech,Valid,Elisabeth,,Animal feeds,Coates,,+(44)3753 702234,"Linda   Pass, 9723",89931826998,2021-08-14,England,,False,ext 68
Yes,Dublin,maxwell_leslie578152891@qater.org,Valid,Maxwell,,Bakery products,Leslie,,+(353)8551 584588,"Castlereagh   Tunnel, 9693",89922619492,2021-12-18,Ireland,Dublin,True,ext 68
Yes,Limerick,john_asher1176163272@ovock.tech,Valid,John,,Milling,Asher,,+(353)2155 674205,"Dunstable   Road, 9518",89923977037,2021-06-09,Ireland,Limerick,True,ext 81
Yes,Plymouth,juliette_sherwood1025881074@irrepsy.com,Valid,Juliette,,Milling,Sherwood,,+(44)5634 864186,"Queen Road, 8667",89923942478,2021-11-19,England,Plymouth,True,ext 68
Yes,Dublin,clint_faulkner205002604@joiniaa.com,Valid,Clint,,Meat,Faulkner,,+(353)3320 22351,"Bethwin  Lane, 3056",89882836526,2021-09-30,Ireland,Dublin,True,ext 47
Yes,Plymouth,danny_murray1724200115@ovock.tech,Valid,Danny,,Meat,Murray,,+(44)1550 628304,"Chestnut  Tunnel, 3600",89923927819,2021-11-03,England,Plymouth,True,ext 7
